"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Percent!!Estimate","DeSoto County, Mississippi!!Percent!!Margin of Error","DeSoto County, Mississippi!!Male!!Estimate","DeSoto County, Mississippi!!Male!!Margin of Error","DeSoto County, Mississippi!!Percent Male!!Estimate","DeSoto County, Mississippi!!Percent Male!!Margin of Error","DeSoto County, Mississippi!!Female!!Estimate","DeSoto County, Mississippi!!Female!!Margin of Error","DeSoto County, Mississippi!!Percent Female!!Estimate","DeSoto County, Mississippi!!Percent Female!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Percent!!Estimate","Forrest County, Mississippi!!Percent!!Margin of Error","Forrest County, Mississippi!!Male!!Estimate","Forrest County, Mississippi!!Male!!Margin of Error","Forrest County, Mississippi!!Percent Male!!Estimate","Forrest County, Mississippi!!Percent Male!!Margin of Error","Forrest County, Mississippi!!Female!!Estimate","Forrest County, Mississippi!!Female!!Margin of Error","Forrest County, Mississippi!!Percent Female!!Estimate","Forrest County, Mississippi!!Percent Female!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Percent!!Estimate","Harrison County, Mississippi!!Percent!!Margin of Error","Harrison County, Mississippi!!Male!!Estimate","Harrison County, Mississippi!!Male!!Margin of Error","Harrison County, Mississippi!!Percent Male!!Estimate","Harrison County, Mississippi!!Percent Male!!Margin of Error","Harrison County, Mississippi!!Female!!Estimate","Harrison County, Mississippi!!Female!!Margin of Error","Harrison County, Mississippi!!Percent Female!!Estimate","Harrison County, Mississippi!!Percent Female!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Percent!!Estimate","Hinds County, Mississippi!!Percent!!Margin of Error","Hinds County, Mississippi!!Male!!Estimate","Hinds County, Mississippi!!Male!!Margin of Error","Hinds County, Mississippi!!Percent Male!!Estimate","Hinds County, Mississippi!!Percent Male!!Margin of Error","Hinds County, Mississippi!!Female!!Estimate","Hinds County, Mississippi!!Female!!Margin of Error","Hinds County, Mississippi!!Percent Female!!Estimate","Hinds County, Mississippi!!Percent Female!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Percent!!Estimate","Jackson County, Mississippi!!Percent!!Margin of Error","Jackson County, Mississippi!!Male!!Estimate","Jackson County, Mississippi!!Male!!Margin of Error","Jackson County, Mississippi!!Percent Male!!Estimate","Jackson County, Mississippi!!Percent Male!!Margin of Error","Jackson County, Mississippi!!Female!!Estimate","Jackson County, Mississippi!!Female!!Margin of Error","Jackson County, Mississippi!!Percent Female!!Estimate","Jackson County, Mississippi!!Percent Female!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Percent!!Estimate","Jones County, Mississippi!!Percent!!Margin of Error","Jones County, Mississippi!!Male!!Estimate","Jones County, Mississippi!!Male!!Margin of Error","Jones County, Mississippi!!Percent Male!!Estimate","Jones County, Mississippi!!Percent Male!!Margin of Error","Jones County, Mississippi!!Female!!Estimate","Jones County, Mississippi!!Female!!Margin of Error","Jones County, Mississippi!!Percent Female!!Estimate","Jones County, Mississippi!!Percent Female!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Percent!!Estimate","Lauderdale County, Mississippi!!Percent!!Margin of Error","Lauderdale County, Mississippi!!Male!!Estimate","Lauderdale County, Mississippi!!Male!!Margin of Error","Lauderdale County, Mississippi!!Percent Male!!Estimate","Lauderdale County, Mississippi!!Percent Male!!Margin of Error","Lauderdale County, Mississippi!!Female!!Estimate","Lauderdale County, Mississippi!!Female!!Margin of Error","Lauderdale County, Mississippi!!Percent Female!!Estimate","Lauderdale County, Mississippi!!Percent Female!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Percent!!Estimate","Lee County, Mississippi!!Percent!!Margin of Error","Lee County, Mississippi!!Male!!Estimate","Lee County, Mississippi!!Male!!Margin of Error","Lee County, Mississippi!!Percent Male!!Estimate","Lee County, Mississippi!!Percent Male!!Margin of Error","Lee County, Mississippi!!Female!!Estimate","Lee County, Mississippi!!Female!!Margin of Error","Lee County, Mississippi!!Percent Female!!Estimate","Lee County, Mississippi!!Percent Female!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Percent!!Estimate","Madison County, Mississippi!!Percent!!Margin of Error","Madison County, Mississippi!!Male!!Estimate","Madison County, Mississippi!!Male!!Margin of Error","Madison County, Mississippi!!Percent Male!!Estimate","Madison County, Mississippi!!Percent Male!!Margin of Error","Madison County, Mississippi!!Female!!Estimate","Madison County, Mississippi!!Female!!Margin of Error","Madison County, Mississippi!!Percent Female!!Estimate","Madison County, Mississippi!!Percent Female!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Percent!!Estimate","Rankin County, Mississippi!!Percent!!Margin of Error","Rankin County, Mississippi!!Male!!Estimate","Rankin County, Mississippi!!Male!!Margin of Error","Rankin County, Mississippi!!Percent Male!!Estimate","Rankin County, Mississippi!!Percent Male!!Margin of Error","Rankin County, Mississippi!!Female!!Estimate","Rankin County, Mississippi!!Female!!Margin of Error","Rankin County, Mississippi!!Percent Female!!Estimate","Rankin County, Mississippi!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"        60 years and over","34,126","±1,332","18.5%","±0.7","15,746","±893","17.6%","±1.0","18,380","±933","19.2%","±1.0","15,499","±972","20.7%","±1.3","7,270","±445","21.0%","±1.4","8,229","±728","20.4%","±2.0","44,850","±1,551","21.6%","±0.7","20,825","±1,139","20.6%","±1.1","24,025","±1,186","22.4%","±1.1","47,874","±1,427","20.6%","±0.6","20,358","±964","18.8%","±0.9","27,516","±1,011","22.3%","±0.8","34,004","±1,838","23.7%","±1.3","15,869","±1,174","22.7%","±1.7","18,135","±1,149","24.6%","±1.6","16,410","±1,010","24.1%","±1.5","7,506","±713","22.5%","±2.1","8,904","±671","25.6%","±2.0","18,358","±786","24.8%","±1.1","8,113","±582","22.6%","±1.7","10,245","±609","26.8%","±1.6","17,666","±755","20.7%","±0.9","6,910","±473","17.1%","±1.2","10,756","±537","23.9%","±1.2","20,788","±1,246","19.6%","±1.2","9,428","±822","19.0%","±1.7","11,360","±872","20.0%","±1.5","35,124","±1,443","22.6%","±0.9","14,987","±812","20.3%","±1.1","20,137","±892","24.7%","±1.2","75,058,081","±67,159","22.9%","±0.1","34,095,451","±41,662","21.1%","±0.1","40,962,630","±43,999","24.6%","±0.1"
"        62 years and over","30,061","±1,110","16.3%","±0.6","13,550","±712","15.2%","±0.8","16,511","±773","17.3%","±0.8","13,612","±806","18.2%","±1.1","6,004","±555","17.3%","±1.6","7,608","±647","18.9%","±1.8","39,059","±1,578","18.8%","±0.8","17,775","±978","17.6%","±1.0","21,284","±1,025","19.9%","±1.0","43,098","±1,372","18.6%","±0.6","18,236","±949","16.8%","±0.9","24,862","±907","20.1%","±0.7","29,442","±1,422","20.5%","±1.0","13,322","±901","19.1%","±1.2","16,120","±965","21.9%","±1.3","15,287","±913","22.4%","±1.3","6,908","±635","20.7%","±2.0","8,379","±579","24.1%","±1.8","16,509","±741","22.3%","±1.0","7,477","±512","20.8%","±1.6","9,032","±583","23.6%","±1.5","16,226","±745","19.0%","±0.9","6,436","±406","15.9%","±1.0","9,790","±606","21.8%","±1.4","18,585","±1,195","17.5%","±1.1","8,261","±851","16.7%","±1.8","10,324","±844","18.2%","±1.5","30,660","±1,282","19.7%","±0.8","13,001","±739","17.6%","±1.0","17,659","±1,008","21.7%","±1.3","66,395,660","±61,054","20.2%","±0.1","29,927,016","±35,972","18.5%","±0.1","36,468,644","±40,373","21.9%","±0.1"
"        65 years and over","24,408","±291","13.2%","±0.2","10,497","±88","11.7%","±0.2","13,911","±272","14.6%","±0.3","10,467","±362","14.0%","±0.5","4,431","±169","12.8%","±0.6","6,036","±193","15.0%","±0.7","31,828","±691","15.3%","±0.3","14,226","±390","14.1%","±0.3","17,602","±548","16.4%","±0.5","34,113","±76","14.7%","±0.1","14,172","±37","13.1%","±0.1","19,941","±60","16.1%","±0.1","24,142","±801","16.8%","±0.6","11,051","±520","15.8%","±0.7","13,091","±462","17.8%","±0.7","12,331","±500","18.1%","±0.7","5,701","±501","17.1%","±1.6","6,630","±88","19.1%","±0.5","12,915","±226","17.4%","±0.3","5,566","±226","15.5%","±0.4","7,349","±226","19.2%","±0.5","12,946","±167","15.2%","±0.2","5,422","±84","13.4%","±0.2","7,524","±83","16.7%","±0.3","14,419","±191","13.6%","±0.2","6,226","±118","12.6%","±0.3","8,193","±111","14.5%","±0.3","24,321","±433","15.7%","±0.3","10,514","±289","14.2%","±0.4","13,807","±176","17.0%","±0.3","54,074,028","±24,915","16.5%","±0.1","24,044,281","±16,352","14.9%","±0.1","30,029,747","±17,170","18.0%","±0.1"
"        75 years and over","9,747","±368","5.3%","±0.2","4,129","±362","4.6%","±0.4","5,618","±132","5.9%","±0.1","4,405","±597","5.9%","±0.8","1,677","±256","4.8%","±0.8","2,728","±497","6.8%","±1.3","12,794","±705","6.1%","±0.3","5,539","±569","5.5%","±0.6","7,255","±393","6.8%","±0.4","13,564","±61","5.9%","±0.1","5,029","±226","4.6%","±0.1","8,535","±61","6.9%","±0.1","9,994","±941","7.0%","±0.7","4,474","±620","6.4%","±0.9","5,520","±462","7.5%","±0.6","4,974","±613","7.3%","±0.9","2,022","±430","6.1%","±1.3","2,952","±382","8.5%","±1.1","6,017","±732","8.1%","±1.0","2,190","±389","6.1%","±1.1","3,827","±496","10.0%","±1.3","6,178","±491","7.2%","±0.6","2,491","±231","6.2%","±0.6","3,687","±349","8.2%","±0.8","4,998","±462","4.7%","±0.4","1,850","±448","3.7%","±0.9","3,148","±69","5.6%","±0.2","9,870","±647","6.4%","±0.4","3,965","±433","5.4%","±0.6","5,905","±481","7.3%","±0.6","22,498,467","±13,862","6.9%","±0.1","9,323,252","±10,172","5.8%","±0.1","13,175,215","±10,962","7.9%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","36.6","±0.5","(X)","(X)","35.4","±1.0","(X)","(X)","37.5","±0.7","(X)","(X)","33.2","±1.3","(X)","(X)","32.9","±2.0","(X)","(X)","33.8","±4.2","(X)","(X)","37.3","±1.0","(X)","(X)","36.4","±1.1","(X)","(X)","38.8","±1.5","(X)","(X)","35.8","±0.3","(X)","(X)","33.5","±0.8","(X)","(X)","37.8","±0.8","(X)","(X)","39.6","±1.0","(X)","(X)","38.1","±1.0","(X)","(X)","42.0","±1.9","(X)","(X)","37.0","±2.1","(X)","(X)","34.9","±3.2","(X)","(X)","39.0","±2.1","(X)","(X)","38.9","±1.3","(X)","(X)","38.4","±1.0","(X)","(X)","40.0","±3.0","(X)","(X)","38.7","±1.2","(X)","(X)","37.3","±1.6","(X)","(X)","39.6","±1.9","(X)","(X)","37.1","±0.9","(X)","(X)","37.5","±1.5","(X)","(X)","36.8","±1.3","(X)","(X)","38.2","±1.1","(X)","(X)","36.9","±1.4","(X)","(X)","39.1","±1.2","(X)","(X)","38.5","±0.1","(X)","(X)","37.2","±0.1","(X)","(X)","39.8","±0.1","(X)","(X)"
"        Sex ratio (males per 100 females)","93.4","±1.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","86.1","±5.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","94.4","±2.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","87.6","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","94.7","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","95.7","±4.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","93.8","±4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","89.9","±2.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","87.5","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","90.7","±2.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","97.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","62.7","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","57.5","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","64.0","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","62.7","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","66.4","±1.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","75.8","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","68.7","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","66.9","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","62.1","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","62.6","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","63.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","21.5","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.0","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.1","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.0","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.8","±1.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.4","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.3","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.0","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.5","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","41.3","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.5","±1.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.9","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.8","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.4","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","44.0","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.3","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","40.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.1","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.3","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
