,asa.county,asa.states,score_infection,score_death,asa.population,asa.under5yr,asa.15yrto44yr,asa.65andOver,asa.75andOver,asa.bachelor,asa.disabilityrate,asa.employment,asa.highrisk,asa.population_density,asa.lessHighSchool,asa.nocomputer,asa.noinsurance,asa.nointernet,asa.poverty,asa.black,asa.white,map_cty,map_state
49,Charleston County ,SC,0.490974913,-0.009746236,411406,0.057850396,0.418542753,0.168383543,0.064189633,0.349751827,0.102,0.512642013,0.090018133,2.484815906,0.066459896,0.019241333,0.114,0.07159108,0.112,0.241265319,0.660189691,charleston,south carolina
50,Charlotte County ,FL,-1.151021946,0.023986324,188910,0.02802922,0.218998465,0.41244508,0.195786353,0.188735377,0.244,0.336504155,0.069842782,2.466542193,0.086660314,0.027515748,0.109,0.048462231,0.12,0.048801016,0.883664179,charlotte,florida
51,Chatham County ,GA,-0.401391191,-0.007038186,289430,0.056117196,0.431651867,0.160937014,0.064305704,0.252416819,0.15,0.47830218,0.09895657,2.680230028,0.085416163,0.022178074,0.158,0.051100439,0.14,0.394855405,0.498275922,chatham,georgia
52,Chatham County ,NC,-0.700388347,0.016587707,74470,0.057029676,0.307586948,0.2539009,0.104673023,0.331395193,0.149,0.457848798,0.055190009,2.427789007,0.105706996,0.035678797,0.107,0.086236068,0.084,0.103370485,0.768403384,chatham,north carolina
53,Cherokee County ,GA,-0.256162455,-0.020952941,258773,0.056215293,0.386346334,0.148187794,0.05125728,0.269634004,0.102,0.5111507,0.072646683,2.769373187,0.079305028,0.022881058,0.123,0.033855928,0.068,0.075146943,0.84931581,cherokee,georgia
54,Chesterfield County ,VA,-0.531123249,-0.014897827,352802,0.060404986,0.386593613,0.153703777,0.054994019,0.279502384,0.122,0.524189205,0.079659412,2.736596339,0.062471301,0.017845704,0.087,0.03797881,0.066,0.233020221,0.632269658,chesterfield,virginia
55,Christian County ,KY,-0.066884452,-0.003962181,70461,0.093384993,0.475482891,0.131590525,0.053206738,0.126538085,0.196,0.436559973,0.075072644,2.688427639,0.105051021,0.030484949,0.12,0.064248308,0.199,0.201033196,0.589943373,christian,kentucky
56,Citrus County ,FL,-0.920852622,0.035182242,149657,0.038508055,0.237168993,0.370112992,0.177372258,0.18253072,0.236,0.298322163,0.059776689,2.322135675,0.109416867,0.029895027,0.119,0.058213114,0.157,0.030576585,0.908971849,citrus,florida
57,City of Alexandria,VA,0.099299453,-0.004009015,159428,0.069071932,0.481540256,0.114898261,0.042106782,0.5193567,0.066,0.623422485,0.08963921,2.245306669,0.058960785,0.018183757,0.083,0.034448152,0.086,0.203527611,0.615751311,,
58,City of Chesapeake,VA,-0.42576696,-0.018801633,244835,0.063214001,0.400886311,0.136884024,0.052075888,0.225449793,0.143,0.452500664,0.073269753,2.818147287,0.075401801,0.011558805,0.076,0.029734311,0.08,0.287834664,0.568198991,,
59,City of Hampton,VA,-0.773081564,-0.021927652,134510,0.059148019,0.42657795,0.158233589,0.065824102,0.184722325,0.155,0.46096201,0.078849156,2.417809573,0.062538101,0.026949669,0.066,0.058478924,0.138,0.479503383,0.371028176,hampton,virginia
60,City of Lynchburg,VA,-0.095615491,-0.009632978,82168,0.064234252,0.513874014,0.143060559,0.064976633,0.250547658,0.104,0.47411401,0.102813747,2.838272884,0.082209619,0.01229189,0.084,0.024036121,0.148,0.281399085,0.626119657,,
61,City of Newport,VA,-0.693631321,-0.018219784,179225,0.074710559,0.443699261,0.135204352,0.055059283,0.177497559,0.121,0.447733296,0.090020923,2.527214529,0.070888548,0.024968615,0.102,0.055182034,0.148,0.398850607,0.444737062,,
62,City of Norfolk,VA,-0.583984336,-0.018640672,242742,0.063252342,0.510171293,0.116395185,0.045348559,0.202449514,0.14,0.435713638,0.100662432,2.746354102,0.083397187,0.027638398,0.106,0.062070017,0.179,0.388078701,0.389920162,norfolk,virginia
63,City of Portsmouth,VA,0.279533041,0.013348976,94398,0.069323503,0.420019492,0.151359139,0.062564885,0.152153647,0.145,0.407106083,0.059852963,2.615700075,0.098508443,0.026674294,0.074,0.046674718,0.192,0.514216403,0.365939956,,
64,City of Richmond,VA,-0.396674118,-0.01681553,230436,0.058085542,0.489949487,0.137374369,0.054227638,0.303654811,0.147,0.543200715,0.112061483,2.563875476,0.115758822,0.036713014,0.116,0.069772084,0.189,0.448636498,0.441111632,richmond,virginia
65,City of Roanoke,VA,0.041977441,0.006222426,99143,0.063665614,0.394753033,0.168009844,0.06636878,0.175675539,0.109,0.493247128,0.105141059,2.429380054,0.089769323,0.052752085,0.094,0.088508518,0.206,0.306294948,0.604460224,,
66,City of Suffolk,VA,-0.201568716,0.029275974,92108,0.065944326,0.383962305,0.150019542,0.05937595,0.213510227,0.111,0.479524037,0.070330482,2.662311761,0.071144743,0.026436357,0.057,0.060135927,0.084,0.417368741,0.481945108,suffolk,virginia
67,City of Virginia Beach,VA,-0.551194716,-0.023512329,449974,0.062014694,0.423380018,0.14725073,0.060141253,0.273689146,0.118,0.501577869,0.0969256,2.570853973,0.046589358,0.013196318,0.064,0.027981617,0.068,0.180452648,0.615406668,virginia beach,virginia
68,Clarke County ,GA,0.623044724,-0.026094487,128331,0.055029572,0.533261644,0.112825428,0.042250119,0.298026198,0.131,0.488284203,0.102071986,2.462032845,0.054780217,0.026735551,0.127,0.057265976,0.272,0.280111586,0.625577608,clarke,georgia
69,Clay County ,FL,-0.298200624,-0.00373028,219252,0.054380348,0.372452703,0.161718023,0.065267364,0.201708536,0.125,0.470112017,0.075100797,2.892773739,0.044551475,0.011365917,0.096,0.021108131,0.085,0.120199588,0.767514093,clay,florida
70,Clayton County ,GA,-0.42808651,-0.005094315,292256,0.076029235,0.43555992,0.096008294,0.030319309,0.122799874,0.106,0.452127587,0.09692872,3.012016902,0.125735656,0.019496606,0.189,0.045135087,0.154,0.687958502,0.166586828,clayton,georgia
71,Cleveland County ,NC,0.538350654,0.030575677,97947,0.052957212,0.367096491,0.189970086,0.076020705,0.133020919,0.171,0.41137554,0.073223274,3.20098696,0.110314762,0.042063565,0.126,0.094275476,0.213,0.208337162,0.745178515,cleveland,north carolina
72,Cleveland County ,OK,0.017207413,-0.011531087,284014,0.052053772,0.461146282,0.139067088,0.056250748,0.245244953,0.134,0.503971635,0.083541656,2.613473448,0.061046286,0.018097699,0.08,0.040487441,0.119,0.04484286,0.764782722,cleveland,oklahoma
73,Cobb County ,GA,-0.238218529,-0.004226024,760141,0.060699265,0.418263191,0.126840941,0.047645108,0.339769858,0.094,0.533786495,0.073452162,2.649017954,0.064747198,0.007155251,0.128,0.018684691,0.081,0.277311709,0.558893679,cobb,georgia
74,Collier County ,FL,0.282720415,-0.004374312,384902,0.041527454,0.284106084,0.328725234,0.171885311,0.278483874,0.124,0.419244379,0.109310941,2.737995988,0.095621743,0.016287263,0.131,0.04000239,0.093,0.066920931,0.885391606,collier,florida
75,Collin County ,TX,-0.812855531,-0.038161633,1034730,0.060703758,0.416147207,0.11266224,0.042148193,0.358757357,0.069,0.526561518,0.06698559,2.845799906,0.047374677,0.005774453,0.111,0.019806133,0.063,0.102740812,0.675516318,collin,texas
76,Columbia County ,FL,1.73500166,0.028872264,71686,0.049898167,0.372108919,0.185475546,0.076207349,0.106520102,0.179,0.388583545,0.102349134,2.840174326,0.118098373,0.020380549,0.157,0.062383171,0.141,0.152540245,0.73655944,columbia,florida
77,Columbia County ,GA,-0.516136907,-0.023036208,156714,0.053511492,0.412286075,0.140829792,0.053224345,0.2805429,0.118,0.490887859,0.064633664,3.342162508,0.058450426,0.013719259,0.09,0.034470437,0.041,0.164599206,0.723081537,columbia,georgia
78,Comal County ,TX,-1.328608499,0.004872277,156209,0.056923737,0.353251093,0.181001095,0.067121613,0.282967051,0.153,0.49241721,0.082043928,2.740316469,0.056033903,0.014134909,0.1,0.021336799,0.056,0,0.910837404,comal,texas
79,Comanche County ,OK,-0.314074192,-0.016310823,120749,0.066518149,0.461941714,0.121557943,0.050609115,0.140108821,0.203,0.389353121,0.085864065,2.885763449,0.072538903,0.019635773,0.135,0.043785042,0.174,0.140042568,0.555143314,comanche,oklahoma
80,Coryell County ,TX,-0.441802707,-0.034651206,75951,0.068596859,0.482534792,0.106608208,0.046279838,0.111703598,0.2,0.330779055,0.071546128,3.437785724,0.085976485,0.024410475,0.119,0.038169346,0.105,0.078497979,0.601874893,coryell,texas
81,Coweta County ,GA,-1.144014301,-0.023238054,148509,0.057060515,0.377478806,0.145216788,0.054703755,0.1920557,0.123,0.491923048,0.070716253,2.768624161,0.07808281,0.016598321,0.085,0.043431711,0.099,0.184870951,0.754984546,coweta,georgia
82,Craighead County ,AR,0.835462463,-0.005133161,110332,0.065357285,0.439953957,0.134874742,0.061604974,0.173947721,0.159,0.45199942,0.083275931,2.664444927,0.075082478,0.024589421,0.087,0.043713519,0.177,0.160805569,0.773601494,craighead,arkansas
83,Craven County ,NC,-0.468483015,-0.005245878,102139,0.06335484,0.38857831,0.197006041,0.073527252,0.152243511,0.143,0.406269887,0.092432861,2.419151607,0.07366432,0.033689384,0.112,0.079656155,0.138,0.201059341,0.661647363,craven,north carolina
