"","long","lat","group","order","region","subregion","IS","DS","TS"
"400",-85.5311431884766,33.9534797668457,8,400,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"401",-85.5311431884766,33.9477462768555,8,401,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"402",-85.5254058837891,33.896183013916,8,402,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"403",-85.6056213378906,33.896183013916,8,403,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"404",-85.6056213378906,33.8847236633301,8,404,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"405",-85.63427734375,33.8847236633301,8,405,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"406",-85.63427734375,33.8560752868652,8,406,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"407",-85.5941619873047,33.8560752868652,8,407,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"408",-85.5941619873047,33.8102378845215,8,408,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"409",-85.6056213378906,33.8102378845215,8,409,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"410",-85.6113510131836,33.7987823486328,8,410,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"411",-85.628547668457,33.7930526733398,8,411,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"412",-85.628547668457,33.7815933227539,8,412,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"413",-85.6399993896484,33.7815933227539,8,413,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"414",-85.6399993896484,33.6555404663086,8,414,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"415",-85.6571884155273,33.6555404663086,8,415,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"416",-85.6571884155273,33.6498107910156,8,416,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"417",-85.6686553955078,33.638355255127,8,417,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"418",-85.6972961425781,33.638355255127,8,418,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"419",-85.7030258178711,33.6268920898438,8,419,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"420",-85.7374038696289,33.6268920898438,8,420,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"421",-85.7374038696289,33.6097030639648,8,421,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"422",-85.7545928955078,33.6039733886719,8,422,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"423",-85.7545928955078,33.5638656616211,8,423,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"424",-85.8004302978516,33.5581359863281,8,424,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"425",-85.8004302978516,33.586784362793,8,425,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
