"Label","Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Margin of Error","Bartow County, Georgia!!Estimate","Bartow County, Georgia!!Margin of Error","Bibb County, Georgia!!Estimate","Bibb County, Georgia!!Margin of Error","Bulloch County, Georgia!!Estimate","Bulloch County, Georgia!!Margin of Error","Carroll County, Georgia!!Estimate","Carroll County, Georgia!!Margin of Error","Catoosa County, Georgia!!Estimate","Catoosa County, Georgia!!Margin of Error","Chatham County, Georgia!!Estimate","Chatham County, Georgia!!Margin of Error","Cherokee County, Georgia!!Estimate","Cherokee County, Georgia!!Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Margin of Error","Clayton County, Georgia!!Estimate","Clayton County, Georgia!!Margin of Error","Cobb County, Georgia!!Estimate","Cobb County, Georgia!!Margin of Error","Columbia County, Georgia!!Estimate","Columbia County, Georgia!!Margin of Error","Coweta County, Georgia!!Estimate","Coweta County, Georgia!!Margin of Error","DeKalb County, Georgia!!Estimate","DeKalb County, Georgia!!Margin of Error","Dougherty County, Georgia!!Estimate","Dougherty County, Georgia!!Margin of Error","Douglas County, Georgia!!Estimate","Douglas County, Georgia!!Margin of Error","Fayette County, Georgia!!Estimate","Fayette County, Georgia!!Margin of Error","Floyd County, Georgia!!Estimate","Floyd County, Georgia!!Margin of Error","Forsyth County, Georgia!!Estimate","Forsyth County, Georgia!!Margin of Error","Fulton County, Georgia!!Estimate","Fulton County, Georgia!!Margin of Error","Glynn County, Georgia!!Estimate","Glynn County, Georgia!!Margin of Error","Gwinnett County, Georgia!!Estimate","Gwinnett County, Georgia!!Margin of Error","Hall County, Georgia!!Estimate","Hall County, Georgia!!Margin of Error","Henry County, Georgia!!Estimate","Henry County, Georgia!!Margin of Error","Houston County, Georgia!!Estimate","Houston County, Georgia!!Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Margin of Error","Lowndes County, Georgia!!Estimate","Lowndes County, Georgia!!Margin of Error","Muscogee County, Georgia!!Estimate","Muscogee County, Georgia!!Margin of Error","Newton County, Georgia!!Estimate","Newton County, Georgia!!Margin of Error","Paulding County, Georgia!!Estimate","Paulding County, Georgia!!Margin of Error","Richmond County, Georgia!!Estimate","Richmond County, Georgia!!Margin of Error","Rockdale County, Georgia!!Estimate","Rockdale County, Georgia!!Margin of Error","Spalding County, Georgia!!Estimate","Spalding County, Georgia!!Margin of Error","Troup County, Georgia!!Estimate","Troup County, Georgia!!Margin of Error","Walker County, Georgia!!Estimate","Walker County, Georgia!!Margin of Error","Walton County, Georgia!!Estimate","Walton County, Georgia!!Margin of Error","Whitfield County, Georgia!!Estimate","Whitfield County, Georgia!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"        15 to 17 years","391","±307","1,762","±308","781","±234","835","±373","1,701","±231","1,199","±234","2,095","±282","4,426","±373","461","±234","1,769","±911","7,736","±579","2,488","±386","2,349","±229","3,642","±359","237","±318","1,506","±414","1,785","±183","1,309","±176","4,511","±237","8,587","±230","625","±347","10,017","±958","3,800","±156","1,358","±680","1,680","±220","1,343","±217","768","±483","1,227","±78","962","±234","2,566","±147","815","±234","244","±252","279","±301","654","±307","915","±584","1,559","±186","1,822","±928","4,105,036","±16,407"
"        18 and 19 years","505","±234","1,127","±508","1,582","±333","1,806","±881","1,850","±495","697","±396","2,305","±537","2,755","±459","6,099","±1,449","788","±723","4,920","±549","1,423","±674","1,226","±645","2,517","±240","160","±250","848","±400","88","±145","1,807","±557","2,399","±263","5,361","±645","511","±406","5,093","±769","2,099","±135","1,281","±288","838","±663","538","±234","1,504","±726","1,051","±528","660","±415","580","±588","927","±464","398","±398","877","±483","509","±392","815","±502","781","±145","997","±559","2,929,563","±19,577"
"        20 to 24 years","1,597","±162","2,635","±281","1,291","±324","3,782","±893","3,240","±234","1,400","±396","4,521","±754","6,440","±479","6,759","±1,457","1,256","±805","11,860","±627","2,567","±798","2,763","±688","6,560","±462","558","±463","1,482","±540","2,433","±145","2,172","±504","5,005","±415","15,033","±770","1,342","±482","11,985","±919","5,465","±274","2,839","±278","2,595","±819","1,366","±265","3,418","±728","2,420","±558","1,325","±405","4,084","±667","2,307","±360","345","±341","760","±397","1,387","±448","1,507","±449","1,804","±234","3,119","±868","7,080,260","±20,612"
"        25 to 29 years","2,395","±391","3,143","±274","2,016","±138","1,887","±331","2,838","±503","2,776","±921","6,653","±621","5,841","±148","3,728","±321","1,342","±610","13,332","±634","3,642","±272","3,831","±807","10,445","±387","745","±406","2,212","±398","1,377","±234","3,016","±629","3,743","±301","21,231","±462","1,566","±95","12,582","±939","5,461","±316","2,711","±149","2,815","±39","1,902","±234","2,597","±322","2,978","±47","1,950","±637","3,918","±234","3,195","±261","1,061","±510","897","±521","1,608","±269","1,946","±234","2,341","±257","2,977","±692","7,668,122","±17,037"
"        30 to 34 years","2,623","±372","2,813","±234","1,732","±234","1,612","±75","2,882","±316","1,940","±234","5,800","±779","7,246","±873","2,552","±198","1,469","±828","13,766","±466","4,016","±323","3,803","±603","10,966","±447","671","±425","1,773","±322","1,556","±193","2,236","±365","4,395","±291","18,071","±594","1,503","±234","12,241","±825","5,435","±121","3,098","±435","3,385","±345","2,527","±663","2,309","±378","2,944","±153","2,105","±443","4,563","±688","1,998","±748","722","±543","734","±545","1,147","±234","1,908","±234","2,257","±199","2,863","±174","7,542,639","±15,478"
"        35 to 44 years","4,488","±429","5,739","±469","3,185","±219","2,882","±198","6,084","±812","3,936","±234","9,071","±814","14,520","±1,142","3,852","±392","3,481","±887","28,395","±963","7,972","±502","7,178","±404","19,605","±603","460","±318","4,119","±569","4,439","±454","4,047","±229","12,276","±521","30,839","±924","3,229","±245","27,234","±1,534","10,460","±322","6,259","±436","5,944","±250","4,278","±396","3,646","±208","5,133","±398","3,002","±173","9,004","±759","3,615","±147","2,439","±806","3,102","±399","2,266","±234","4,141","±189","4,482","±173","5,871","±862","14,469,811","±19,046"
"        45 to 54 years","4,627","±471","6,395","±376","3,802","±200","2,739","±234","5,569","±234","4,429","±234","8,440","±119","15,694","±522","3,663","±631","2,054","±904","29,752","±970","7,322","±416","8,459","±398","17,107","±641","1,648","±450","4,456","±277","5,760","±388","5,239","±606","15,325","±386","33,924","±687","4,024","±588","30,086","±1,576","11,822","±131","8,308","±733","6,036","±411","4,040","±236","3,522","±68","4,860","±267","4,194","±712","9,928","±592","3,944","±252","1,585","±369","2,777","±332","2,620","±234","4,225","±32","5,074","±234","5,940","±657","14,875,533","±20,810"
"        55 to 64 years","3,864","±234","6,128","±176","4,490","±93","2,968","±45","5,577","±234","4,383","±234","10,457","±257","15,480","±733","3,750","±246","3,132","±498","30,569","±722","7,542","±330","8,172","±381","15,906","±452","1,848","±234","5,143","±424","6,062","±136","5,130","±234","11,459","±254","30,134","±514","4,694","±234","30,424","±747","11,139","±140","7,815","±383","6,473","±147","4,192","±350","3,652","±96","5,264","±178","3,830","±389","7,969","±630","4,977","±132","2,698","±139","2,963","±86","3,029","±155","4,600","±110","5,066","±200","5,439","±527","16,835,098","±13,565"
"        65 to 74 years","2,901","±234","4,522","±234","4,164","±128","2,192","±234","4,502","±234","3,694","±234","9,360","±234","12,079","±436","3,274","±80","2,684","±235","24,818","±637","5,930","±614","5,630","±289","12,447","±436","1,919","±154","3,917","±340","5,194","±291","4,468","±162","8,767","±154","20,321","±377","4,734","±234","21,281","±585","8,552","±165","5,607","±199","4,531","±188","3,076","±234","3,019","±234","4,365","±163","2,904","±234","5,277","±188","4,184","±63","2,522","±161","3,049","±181","2,335","±234","3,825","±234","4,041","±195","4,177","±377","13,470,056","±11,807"
"        75 to 84 years","1,755","±265","2,762","±285","2,673","±399","1,420","±179","2,146","±448","1,829","±610","5,030","±585","6,228","±540","2,118","±188","1,567","±322","13,677","±1,034","2,974","±372","3,178","±358","8,171","±1,070","1,022","±420","1,834","±375","3,163","±430","2,574","±504","5,109","±657","9,888","±1,027","2,134","±620","9,358","±974","5,582","±652","2,637","±391","2,762","±491","1,691","±298","1,749","±291","2,410","±489","1,827","±270","2,411","±604","2,493","±492","1,079","±418","1,614","±317","1,187","±411","2,497","±339","1,822","±405","3,105","±554","7,536,009","±25,598"
"        85 years and over","365","±265","335","±222","1,015","±399","192","±179","1,091","±448","1,114","±610","2,267","±606","907","±442","365","±188","543","±265","3,575","±835","837","±372","555","±358","3,317","±968","888","±451","1,067","±499","822","±408","1,199","±504","1,432","±627","5,744","±989","1,369","±597","4,027","±952","1,682","±660","1,203","±428","1,002","±491","509","±298","770","±291","1,665","±480","439","±270","1,063","±638","1,210","±498","716","±415","629","±317","779","±411","695","±339","1,313","±393","792","±342","3,433,541","±26,031"
