"Label","Alachua County, Florida!!Estimate","Alachua County, Florida!!Margin of Error","Bay County, Florida!!Estimate","Bay County, Florida!!Margin of Error","Brevard County, Florida!!Estimate","Brevard County, Florida!!Margin of Error","Broward County, Florida!!Estimate","Broward County, Florida!!Margin of Error","Charlotte County, Florida!!Estimate","Charlotte County, Florida!!Margin of Error","Citrus County, Florida!!Estimate","Citrus County, Florida!!Margin of Error","Clay County, Florida!!Estimate","Clay County, Florida!!Margin of Error","Collier County, Florida!!Estimate","Collier County, Florida!!Margin of Error","Columbia County, Florida!!Estimate","Columbia County, Florida!!Margin of Error","Duval County, Florida!!Estimate","Duval County, Florida!!Margin of Error","Escambia County, Florida!!Estimate","Escambia County, Florida!!Margin of Error","Flagler County, Florida!!Estimate","Flagler County, Florida!!Margin of Error","Hernando County, Florida!!Estimate","Hernando County, Florida!!Margin of Error","Highlands County, Florida!!Estimate","Highlands County, Florida!!Margin of Error","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Indian River County, Florida!!Estimate","Indian River County, Florida!!Margin of Error","Lake County, Florida!!Estimate","Lake County, Florida!!Margin of Error","Lee County, Florida!!Estimate","Lee County, Florida!!Margin of Error","Leon County, Florida!!Estimate","Leon County, Florida!!Margin of Error","Manatee County, Florida!!Estimate","Manatee County, Florida!!Margin of Error","Marion County, Florida!!Estimate","Marion County, Florida!!Margin of Error","Martin County, Florida!!Estimate","Martin County, Florida!!Margin of Error","Miami-Dade County, Florida!!Estimate","Miami-Dade County, Florida!!Margin of Error","Monroe County, Florida!!Estimate","Monroe County, Florida!!Margin of Error","Nassau County, Florida!!Estimate","Nassau County, Florida!!Margin of Error","Okaloosa County, Florida!!Estimate","Okaloosa County, Florida!!Margin of Error","Orange County, Florida!!Estimate","Orange County, Florida!!Margin of Error","Osceola County, Florida!!Estimate","Osceola County, Florida!!Margin of Error","Palm Beach County, Florida!!Estimate","Palm Beach County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error","Putnam County, Florida!!Estimate","Putnam County, Florida!!Margin of Error","St. Johns County, Florida!!Estimate","St. Johns County, Florida!!Margin of Error","St. Lucie County, Florida!!Estimate","St. Lucie County, Florida!!Margin of Error","Santa Rosa County, Florida!!Estimate","Santa Rosa County, Florida!!Margin of Error","Sarasota County, Florida!!Estimate","Sarasota County, Florida!!Margin of Error","Seminole County, Florida!!Estimate","Seminole County, Florida!!Margin of Error","Sumter County, Florida!!Estimate","Sumter County, Florida!!Margin of Error","Volusia County, Florida!!Estimate","Volusia County, Florida!!Margin of Error","Walton County, Florida!!Estimate","Walton County, Florida!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"        15 to 17 years","1,406","±543","1,168","±944","650","±585","12,439","±1,444","","","","","894","±822","815","±254","582","±647","6,192","±368","1,571","±188","","","","","","","5,001","±496","","","853","±975","1,383","±907","1,621","±239","813","±577","1,456","±499","","","9,191","±1,050","","","","","345","±353","6,314","±487","1,008","±570","6,222","±686","786","±459","1,866","±542","2,334","±306","538","±475","923","±576","1,460","±914","","","153","±184","1,295","±686","","","1,181","±148","","","848,846","±12,067"
"        18 and 19 years","631","±384","0","±234","526","±449","6,565","±1,038","","","","","305","±411","624","±462","189","±305","3,834","±235","864","±579","","","","","","","3,524","±266","","","983","±920","1,543","±893","3,513","±260","46","±92","840","±767","","","5,771","±242","","","","","89","±146","4,202","±780","1,002","±923","4,082","±294","1,273","±982","805","±704","1,367","±254","86","±156","296","±272","951","±850","","","35","±53","1,798","±903","","","1,662","±656","","","640,129","±13,384"
"        20 to 24 years","3,304","±1,171","850","±597","1,216","±810","19,030","±1,001","","","","","1,035","±703","851","±509","219","±266","10,502","±420","3,030","±692","","","","","","","9,984","±1,331","","","1,070","±754","2,168","±738","9,320","±428","2,332","±569","1,487","±767","","","15,848","±770","","","","","1,020","±615","12,943","±1,040","1,447","±1,182","9,409","±863","1,117","±790","3,357","±887","4,285","±368","411","±460","332","±405","1,731","±1,058","","","1,193","±598","1,585","±878","","","2,535","±726","","","1,545,140","±17,392"
"        25 to 29 years","2,783","±284","771","±525","1,487","±1,008","22,644","±751","","","","","1,039","±631","728","±423","670","±540","13,083","±629","2,417","±1,280","","","","","","","11,816","±1,260","","","1,030","±1,155","2,814","±142","4,437","±508","578","±400","1,826","±165","","","19,717","±1,103","","","","","714","±554","14,130","±641","1,137","±630","11,435","±483","646","±572","4,864","±588","4,256","±362","209","±371","462","±338","1,412","±858","","","218","±257","2,411","±565","","","2,106","±525","","","1,728,866","±15,287"
"        30 to 34 years","1,512","±909","150","±173","1,796","±390","22,781","±1,617","","","","","646","±747","727","±469","0","±234","12,181","±318","2,208","±501","","","","","","","11,433","±879","","","1,190","±1,257","2,422","±105","3,232","±83","1,460","±234","1,876","±933","","","17,584","±836","","","","","358","±434","12,324","±721","1,370","±913","11,312","±317","693","±489","3,921","±348","4,003","±73","283","±298","352","±369","2,124","±733","","","669","±596","2,484","±258","","","2,178","±232","","","1,574,530","±13,489"
"        35 to 44 years","4,245","±1,116","439","±426","3,735","±364","42,494","±1,357","","","","","2,041","±1,170","1,586","±482","892","±580","20,412","±465","4,724","±265","","","","","","","18,146","±1,034","","","3,313","±1,797","4,160","±692","5,859","±275","2,867","±821","2,859","±1,255","","","28,777","±1,037","","","","","1,520","±674","21,504","±992","4,391","±1,308","20,049","±928","3,117","±782","7,182","±656","7,582","±333","808","±668","1,021","±743","5,884","±2,078","","","905","±647","4,541","±498","","","3,589","±225","","","2,894,745","±19,109"
"        45 to 54 years","2,707","±215","2,038","±688","3,126","±956","39,698","±1,392","","","","","2,383","±1,155","1,584","±296","776","±517","19,042","±296","4,271","±234","","","","","","","15,778","±703","","","2,680","±234","3,946","±77","5,113","±237","1,648","±847","3,169","±1,007","","","29,678","±1,414","","","","","1,068","±753","18,111","±1,195","1,427","±790","19,477","±531","2,303","±234","6,621","±427","6,501","±782","1,254","±603","1,380","±696","3,836","±1,469","","","1,574","±761","4,130","±398","","","4,053","±468","","","2,766,537","±16,849"
"        55 to 64 years","2,803","±408","1,186","±234","4,325","±351","35,947","±853","","","","","1,669","±231","1,610","±234","856","±348","17,912","±448","4,918","±234","","","","","","","16,167","±1,373","","","2,441","±120","3,365","±528","4,718","±234","2,425","±234","2,782","±246","","","29,375","±810","","","","","916","±274","16,447","±366","2,653","±579","17,259","±607","2,029","±112","7,056","±440","6,763","±133","742","±186","892","±688","4,543","±234","","","1,377","±44","2,981","±549","","","3,588","±45","","","2,726,482","±9,060"
"        65 to 74 years","2,425","±381","651","±315","3,076","±234","23,373","±446","","","","","434","±350","884","±593","215","±199","11,087","±436","3,071","±36","","","","","","","9,160","±379","","","1,186","±721","2,478","±186","2,843","±184","1,593","±666","2,317","±82","","","21,508","±934","","","","","639","±359","9,636","±618","1,833","±845","11,297","±416","1,259","±54","4,405","±462","4,199","±659","708","±208","951","±528","3,277","±687","","","1,277","±389","2,331","±166","","","2,365","±234","","","1,820,590","±9,640"
"        75 to 84 years","650","±343","295","±244","1,580","±575","11,209","±1,204","","","","","834","±397","857","±502","327","±300","5,453","±734","1,588","±264","","","","","","","3,886","±663","","","1,447","±774","1,161","±547","1,110","±351","849","±666","1,409","±527","","","10,589","±1,103","","","","","107","±183","5,257","±668","1,256","±809","4,607","±808","574","±106","2,573","±347","1,697","±497","82","±124","583","±337","2,282","±466","","","177","±222","1,275","±243","","","1,184","±385","","","861,805","±11,993"
"        85 years and over","726","±343","227","±212","1,374","±994","3,913","±1,116","","","","","154","±245","179","±193","0","±234","1,553","±724","521","±250","","","","","","","1,778","±497","","","253","±266","559","±540","857","±351","0","±234","355","±527","","","4,692","±1,045","","","","","0","±234","1,163","±538","414","±575","2,654","±837","104","±106","537","±300","1,233","±563","195","±188","0","±234","218","±234","","","243","±361","205","±224","","","425","±380","","","348,283","±8,487"
