"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Percent!!Estimate","Boone County, Kentucky!!Percent!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Percent!!Estimate","Bullitt County, Kentucky!!Percent!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Percent!!Estimate","Campbell County, Kentucky!!Percent!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Percent!!Estimate","Christian County, Kentucky!!Percent!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Percent!!Estimate","Daviess County, Kentucky!!Percent!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Percent!!Estimate","Fayette County, Kentucky!!Percent!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Percent!!Estimate","Hardin County, Kentucky!!Percent!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Percent!!Estimate","Jefferson County, Kentucky!!Percent!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Percent!!Estimate","Kenton County, Kentucky!!Percent!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Percent!!Estimate","McCracken County, Kentucky!!Percent!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Percent!!Estimate","Madison County, Kentucky!!Percent!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Percent!!Estimate","Oldham County, Kentucky!!Percent!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Percent!!Estimate","Warren County, Kentucky!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"        Without an Internet subscription","4,833","±1,307","9.9%","±2.7","4,248","±1,009","13.9%","±3.3","5,537","±1,242","14.5%","±3.3","4,527","±1,023","17.3%","±3.8","5,139","±1,117","12.6%","±2.7","14,327","±2,194","10.9%","±1.6","6,065","±1,455","14.2%","±3.4","39,239","±3,363","12.4%","±1.0","7,641","±1,551","11.7%","±2.3","3,001","±716","10.6%","±2.5","4,957","±1,034","14.5%","±3.0","1,686","±558","8.1%","±2.7","4,902","±1,227","9.7%","±2.4","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","4,159","±1,368","(X)","(X)","2,783","±964","(X)","(X)","5,368","±1,008","(X)","(X)","5,815","±1,185","(X)","(X)","7,619","±1,156","(X)","(X)","18,735","±2,439","(X)","(X)","5,152","±1,104","(X)","(X)","47,678","±3,407","(X)","(X)","8,476","±1,486","(X)","(X)","5,470","±1,345","(X)","(X)","7,786","±1,432","(X)","(X)","1,291","±460","(X)","(X)","7,651","±1,674","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","67","±130","1.6%","±3.1","0","±201","0.0%","±5.8","0","±201","0.0%","±3.1","0","±201","0.0%","±2.8","0","±201","0.0%","±2.2","0","±201","0.0%","±0.9","24","±40","0.5%","±0.8","120","±136","0.3%","±0.3","0","±201","0.0%","±2.0","0","±201","0.0%","±3.0","0","±201","0.0%","±2.1","0","±201","0.0%","±12.2","173","±280","2.3%","±3.6","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","3,240","±1,043","77.9%","±10.9","1,707","±918","61.3%","±18.6","3,285","±822","61.2%","±13.8","4,308","±1,196","74.1%","±9.8","5,441","±1,211","71.4%","±9.3","12,429","±2,035","66.3%","±6.7","2,895","±782","56.2%","±13.0","33,790","±2,689","70.9%","±3.8","5,418","±1,193","63.9%","±9.2","4,304","±1,188","78.7%","±8.3","4,985","±1,106","64.0%","±8.3","1,009","±443","78.2%","±16.2","5,764","±1,560","75.3%","±10.9","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","852","±593","20.5%","±11.1","1,076","±510","38.7%","±18.6","2,083","±922","38.8%","±13.8","1,507","±533","25.9%","±9.8","2,178","±694","28.6%","±9.3","6,306","±1,508","33.7%","±6.7","2,233","±911","43.3%","±13.0","13,768","±2,255","28.9%","±3.8","3,058","±963","36.1%","±9.2","1,166","±515","21.3%","±8.3","2,801","±834","36.0%","±8.3","282","±216","21.8%","±16.2","1,714","±867","22.4%","±10.4","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","20,013","±2,292","(X)","(X)","14,365","±1,608","(X)","(X)","15,629","±1,388","(X)","(X)","13,042","±1,483","(X)","(X)","19,322","±1,648","(X)","(X)","61,241","±3,246","(X)","(X)","22,525","±1,853","(X)","(X)","147,943","±4,412","(X)","(X)","26,463","±2,159","(X)","(X)","15,254","±1,688","(X)","(X)","15,563","±1,900","(X)","(X)","6,331","±966","(X)","(X)","26,179","±1,994","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","19","±35","0.1%","±0.2","68","±106","0.5%","±0.7","162","±240","1.0%","±1.5","0","±201","0.0%","±1.3","39","±68","0.2%","±0.3","93","±111","0.2%","±0.2","284","±252","1.3%","±1.1","433","±281","0.3%","±0.2","134","±138","0.5%","±0.5","0","±201","0.0%","±1.1","52","±86","0.3%","±0.5","0","±201","0.0%","±2.6","99","±172","0.4%","±0.7","154,033","±5,386","0.3%","±0.1"
"            With a broadband Internet subscription","16,996","±2,166","84.9%","±5.0","11,873","±1,519","82.7%","±4.6","12,630","±1,399","80.8%","±5.6","10,626","±1,379","81.5%","±5.2","16,933","±1,670","87.6%","±4.2","54,384","±3,291","88.8%","±2.2","19,449","±1,799","86.3%","±3.6","127,686","±4,373","86.3%","±1.5","23,002","±2,107","86.9%","±3.3","13,863","±1,646","90.9%","±3.4","13,730","±1,701","88.2%","±3.9","5,181","±847","81.8%","±7.3","23,625","±1,890","90.2%","±3.4","43,392,447","±118,754","84.1%","±0.1"
"            Without an Internet subscription","2,998","±1,050","15.0%","±5.0","2,424","±695","16.9%","±4.6","2,837","±881","18.2%","±5.5","2,416","±737","18.5%","±5.2","2,350","±826","12.2%","±4.2","6,764","±1,365","11.0%","±2.2","2,792","±777","12.4%","±3.3","19,824","±2,247","13.4%","±1.5","3,327","±900","12.6%","±3.3","1,391","±536","9.1%","±3.4","1,781","±633","11.4%","±3.6","1,150","±520","18.2%","±7.3","2,455","±931","9.4%","±3.4","8,077,796","±66,242","15.6%","±0.1"
"        $75,000 or more:","24,598","±2,141","(X)","(X)","13,405","±1,388","(X)","(X)","17,113","±1,339","(X)","(X)","7,352","±1,448","(X)","(X)","13,859","±1,608","(X)","(X)","51,953","±2,513","(X)","(X)","14,967","±1,819","(X)","(X)","120,553","±3,967","(X)","(X)","30,423","±2,159","(X)","(X)","7,639","±1,297","(X)","(X)","10,921","±1,419","(X)","(X)","13,139","±1,102","(X)","(X)","16,659","±1,879","(X)","(X)","54,280,407","±138,481","(X)","(X)"
"            With dial-up Internet subscription alone","0","±201","0.0%","±0.7","0","±201","0.0%","±1.2","0","±201","0.0%","±1.0","0","±201","0.0%","±2.2","0","±201","0.0%","±1.2","0","±201","0.0%","±0.3","0","±201","0.0%","±1.1","0","±201","0.0%","±0.1","116","±144","0.4%","±0.5","0","±201","0.0%","±2.2","38","±67","0.3%","±0.6","0","±201","0.0%","±1.3","9","±15","0.1%","±0.1","61,241","±3,741","0.1%","±0.1"
"            With a broadband Internet subscription","23,615","±2,172","96.0%","±2.4","12,657","±1,342","94.4%","±3.9","16,496","±1,374","96.4%","±1.7","6,748","±1,404","91.8%","±5.1","13,248","±1,686","95.6%","±2.4","50,696","±2,486","97.6%","±1.0","13,927","±1,714","93.1%","±5.6","114,906","±4,106","95.3%","±1.1","29,051","±2,124","95.5%","±2.4","7,195","±1,263","94.2%","±3.4","10,508","±1,403","96.2%","±2.1","12,885","±1,086","98.1%","±1.7","15,917","±1,900","95.5%","±2.9","51,866,285","±151,271","95.6%","±0.1"
"            Without an Internet subscription","983","±588","4.0%","±2.4","748","±549","5.6%","±3.9","617","±294","3.6%","±1.7","604","±385","8.2%","±5.1","611","±325","4.4%","±2.4","1,257","±521","2.4%","±1.0","1,040","±871","6.9%","±5.6","5,647","±1,388","4.7%","±1.1","1,256","±715","4.1%","±2.3","444","±270","5.8%","±3.4","375","±240","3.4%","±2.2","254","±224","1.9%","±1.7","733","±488","4.4%","±2.9","2,352,881","±31,854","4.3%","±0.1"
