"Label","Alamance County, North Carolina!!Total!!Estimate","Alamance County, North Carolina!!Total!!Margin of Error","Alamance County, North Carolina!!Percent!!Estimate","Alamance County, North Carolina!!Percent!!Margin of Error","Brunswick County, North Carolina!!Total!!Estimate","Brunswick County, North Carolina!!Total!!Margin of Error","Brunswick County, North Carolina!!Percent!!Estimate","Brunswick County, North Carolina!!Percent!!Margin of Error","Buncombe County, North Carolina!!Total!!Estimate","Buncombe County, North Carolina!!Total!!Margin of Error","Buncombe County, North Carolina!!Percent!!Estimate","Buncombe County, North Carolina!!Percent!!Margin of Error","Burke County, North Carolina!!Total!!Estimate","Burke County, North Carolina!!Total!!Margin of Error","Burke County, North Carolina!!Percent!!Estimate","Burke County, North Carolina!!Percent!!Margin of Error","Cabarrus County, North Carolina!!Total!!Estimate","Cabarrus County, North Carolina!!Total!!Margin of Error","Cabarrus County, North Carolina!!Percent!!Estimate","Cabarrus County, North Carolina!!Percent!!Margin of Error","Caldwell County, North Carolina!!Total!!Estimate","Caldwell County, North Carolina!!Total!!Margin of Error","Caldwell County, North Carolina!!Percent!!Estimate","Caldwell County, North Carolina!!Percent!!Margin of Error","Carteret County, North Carolina!!Total!!Estimate","Carteret County, North Carolina!!Total!!Margin of Error","Carteret County, North Carolina!!Percent!!Estimate","Carteret County, North Carolina!!Percent!!Margin of Error","Catawba County, North Carolina!!Total!!Estimate","Catawba County, North Carolina!!Total!!Margin of Error","Catawba County, North Carolina!!Percent!!Estimate","Catawba County, North Carolina!!Percent!!Margin of Error","Chatham County, North Carolina!!Total!!Estimate","Chatham County, North Carolina!!Total!!Margin of Error","Chatham County, North Carolina!!Percent!!Estimate","Chatham County, North Carolina!!Percent!!Margin of Error","Cleveland County, North Carolina!!Total!!Estimate","Cleveland County, North Carolina!!Total!!Margin of Error","Cleveland County, North Carolina!!Percent!!Estimate","Cleveland County, North Carolina!!Percent!!Margin of Error","Craven County, North Carolina!!Total!!Estimate","Craven County, North Carolina!!Total!!Margin of Error","Craven County, North Carolina!!Percent!!Estimate","Craven County, North Carolina!!Percent!!Margin of Error","Cumberland County, North Carolina!!Total!!Estimate","Cumberland County, North Carolina!!Total!!Margin of Error","Cumberland County, North Carolina!!Percent!!Estimate","Cumberland County, North Carolina!!Percent!!Margin of Error","Davidson County, North Carolina!!Total!!Estimate","Davidson County, North Carolina!!Total!!Margin of Error","Davidson County, North Carolina!!Percent!!Estimate","Davidson County, North Carolina!!Percent!!Margin of Error","Durham County, North Carolina!!Total!!Estimate","Durham County, North Carolina!!Total!!Margin of Error","Durham County, North Carolina!!Percent!!Estimate","Durham County, North Carolina!!Percent!!Margin of Error","Forsyth County, North Carolina!!Total!!Estimate","Forsyth County, North Carolina!!Total!!Margin of Error","Forsyth County, North Carolina!!Percent!!Estimate","Forsyth County, North Carolina!!Percent!!Margin of Error","Franklin County, North Carolina!!Total!!Estimate","Franklin County, North Carolina!!Total!!Margin of Error","Franklin County, North Carolina!!Percent!!Estimate","Franklin County, North Carolina!!Percent!!Margin of Error","Gaston County, North Carolina!!Total!!Estimate","Gaston County, North Carolina!!Total!!Margin of Error","Gaston County, North Carolina!!Percent!!Estimate","Gaston County, North Carolina!!Percent!!Margin of Error","Guilford County, North Carolina!!Total!!Estimate","Guilford County, North Carolina!!Total!!Margin of Error","Guilford County, North Carolina!!Percent!!Estimate","Guilford County, North Carolina!!Percent!!Margin of Error","Harnett County, North Carolina!!Total!!Estimate","Harnett County, North Carolina!!Total!!Margin of Error","Harnett County, North Carolina!!Percent!!Estimate","Harnett County, North Carolina!!Percent!!Margin of Error","Henderson County, North Carolina!!Total!!Estimate","Henderson County, North Carolina!!Total!!Margin of Error","Henderson County, North Carolina!!Percent!!Estimate","Henderson County, North Carolina!!Percent!!Margin of Error","Iredell County, North Carolina!!Total!!Estimate","Iredell County, North Carolina!!Total!!Margin of Error","Iredell County, North Carolina!!Percent!!Estimate","Iredell County, North Carolina!!Percent!!Margin of Error","Johnston County, North Carolina!!Total!!Estimate","Johnston County, North Carolina!!Total!!Margin of Error","Johnston County, North Carolina!!Percent!!Estimate","Johnston County, North Carolina!!Percent!!Margin of Error","Lincoln County, North Carolina!!Total!!Estimate","Lincoln County, North Carolina!!Total!!Margin of Error","Lincoln County, North Carolina!!Percent!!Estimate","Lincoln County, North Carolina!!Percent!!Margin of Error","Mecklenburg County, North Carolina!!Total!!Estimate","Mecklenburg County, North Carolina!!Total!!Margin of Error","Mecklenburg County, North Carolina!!Percent!!Estimate","Mecklenburg County, North Carolina!!Percent!!Margin of Error","Moore County, North Carolina!!Total!!Estimate","Moore County, North Carolina!!Total!!Margin of Error","Moore County, North Carolina!!Percent!!Estimate","Moore County, North Carolina!!Percent!!Margin of Error","Nash County, North Carolina!!Total!!Estimate","Nash County, North Carolina!!Total!!Margin of Error","Nash County, North Carolina!!Percent!!Estimate","Nash County, North Carolina!!Percent!!Margin of Error","New Hanover County, North Carolina!!Total!!Estimate","New Hanover County, North Carolina!!Total!!Margin of Error","New Hanover County, North Carolina!!Percent!!Estimate","New Hanover County, North Carolina!!Percent!!Margin of Error","Onslow County, North Carolina!!Total!!Estimate","Onslow County, North Carolina!!Total!!Margin of Error","Onslow County, North Carolina!!Percent!!Estimate","Onslow County, North Carolina!!Percent!!Margin of Error","Orange County, North Carolina!!Total!!Estimate","Orange County, North Carolina!!Total!!Margin of Error","Orange County, North Carolina!!Percent!!Estimate","Orange County, North Carolina!!Percent!!Margin of Error","Pitt County, North Carolina!!Total!!Estimate","Pitt County, North Carolina!!Total!!Margin of Error","Pitt County, North Carolina!!Percent!!Estimate","Pitt County, North Carolina!!Percent!!Margin of Error","Randolph County, North Carolina!!Total!!Estimate","Randolph County, North Carolina!!Total!!Margin of Error","Randolph County, North Carolina!!Percent!!Estimate","Randolph County, North Carolina!!Percent!!Margin of Error","Robeson County, North Carolina!!Total!!Estimate","Robeson County, North Carolina!!Total!!Margin of Error","Robeson County, North Carolina!!Percent!!Estimate","Robeson County, North Carolina!!Percent!!Margin of Error","Rockingham County, North Carolina!!Total!!Estimate","Rockingham County, North Carolina!!Total!!Margin of Error","Rockingham County, North Carolina!!Percent!!Estimate","Rockingham County, North Carolina!!Percent!!Margin of Error","Rowan County, North Carolina!!Total!!Estimate","Rowan County, North Carolina!!Total!!Margin of Error","Rowan County, North Carolina!!Percent!!Estimate","Rowan County, North Carolina!!Percent!!Margin of Error","Rutherford County, North Carolina!!Total!!Estimate","Rutherford County, North Carolina!!Total!!Margin of Error","Rutherford County, North Carolina!!Percent!!Estimate","Rutherford County, North Carolina!!Percent!!Margin of Error","Surry County, North Carolina!!Total!!Estimate","Surry County, North Carolina!!Total!!Margin of Error","Surry County, North Carolina!!Percent!!Estimate","Surry County, North Carolina!!Percent!!Margin of Error","Union County, North Carolina!!Total!!Estimate","Union County, North Carolina!!Total!!Margin of Error","Union County, North Carolina!!Percent!!Estimate","Union County, North Carolina!!Percent!!Margin of Error","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Total!!Margin of Error","Wake County, North Carolina!!Percent!!Estimate","Wake County, North Carolina!!Percent!!Margin of Error","Wayne County, North Carolina!!Total!!Estimate","Wayne County, North Carolina!!Total!!Margin of Error","Wayne County, North Carolina!!Percent!!Estimate","Wayne County, North Carolina!!Percent!!Margin of Error","Wilkes County, North Carolina!!Total!!Estimate","Wilkes County, North Carolina!!Total!!Margin of Error","Wilkes County, North Carolina!!Percent!!Estimate","Wilkes County, North Carolina!!Percent!!Margin of Error","Wilson County, North Carolina!!Total!!Estimate","Wilson County, North Carolina!!Total!!Margin of Error","Wilson County, North Carolina!!Percent!!Estimate","Wilson County, North Carolina!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"            Dial-up with no other type of Internet subscription","91","±126","0.1%","±0.2","105","±112","0.2%","±0.2","523","±375","0.5%","±0.3","0","±216","0.0%","±0.5","279","±252","0.4%","±0.4","0","±216","0.0%","±0.6","80","±84","0.3%","±0.3","76","±109","0.1%","±0.2","64","±111","0.2%","±0.4","0","±216","0.0%","±0.6","94","±159","0.2%","±0.4","264","±249","0.2%","±0.2","140","±186","0.2%","±0.3","0","±216","0.0%","±0.1","259","±336","0.2%","±0.2","0","±216","0.0%","±0.7","161","±148","0.2%","±0.2","7","±12","0.0%","±0.1","17","±30","0.0%","±0.1","0","±216","0.0%","±0.4","208","±157","0.3%","±0.2","52","±66","0.1%","±0.1","126","±165","0.4%","±0.5","163","±194","0.0%","±0.1","39","±64","0.1%","±0.2","106","±132","0.3%","±0.4","252","±204","0.3%","±0.2","0","±216","0.0%","±0.3","19","±22","0.0%","±0.1","182","±215","0.3%","±0.3","122","±148","0.2%","±0.3","0","±216","0.0%","±0.4","0","±216","0.0%","±0.5","51","±89","0.1%","±0.2","38","±66","0.1%","±0.2","83","±121","0.3%","±0.4","244","±187","0.3%","±0.2","906","±846","0.2%","±0.2","0","±216","0.0%","±0.4","346","±270","1.2%","±0.9","0","±216","0.0%","±0.6","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","52,079","±2,184","81.0%","±2.6","53,683","±2,573","91.9%","±1.8","88,967","±3,298","83.3%","±1.9","28,638","±1,901","78.2%","±4.0","61,785","±2,344","89.8%","±2.1","27,609","±1,758","84.9%","±4.2","25,725","±1,749","88.8%","±2.9","53,320","±2,049","85.4%","±2.2","24,188","±1,608","78.9%","±4.5","21,365","±1,873","69.8%","±4.2","33,991","±2,219","80.5%","±3.6","111,969","±2,468","87.4%","±1.3","58,307","±2,005","83.4%","±2.3","118,285","±3,118","90.2%","±1.6","125,972","±3,192","85.0%","±1.6","23,056","±1,538","86.3%","±3.7","72,811","±2,068","85.0%","±2.1","174,768","±4,037","84.4%","±1.4","38,544","±1,551","83.0%","±2.4","43,542","±2,097","85.2%","±3.2","60,411","±1,779","88.7%","±1.4","58,146","±2,907","79.0%","±3.4","29,662","±1,336","86.2%","±2.9","387,089","±5,378","90.8%","±0.8","35,209","±1,746","84.8%","±3.5","30,871","±1,926","82.2%","±3.1","89,194","±2,893","89.0%","±2.0","57,953","±3,448","91.1%","±2.8","51,088","±2,142","92.5%","±2.1","60,645","±2,347","85.5%","±2.7","45,401","±2,120","80.9%","±2.8","31,580","±1,351","68.2%","±2.7","27,941","±1,760","72.6%","±3.9","48,318","±1,668","87.5%","±2.5","23,074","±1,673","82.5%","±3.8","21,569","±1,255","75.9%","±3.3","71,841","±1,911","92.2%","±1.6","391,673","±4,603","93.4%","±0.7","41,547","±1,997","85.7%","±2.8","22,330","±1,805","78.7%","±4.2","24,050","±1,790","74.3%","±4.6","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","44,180","±2,658","68.7%","±3.6","48,887","±2,591","83.7%","±2.3","79,829","±3,486","74.8%","±2.2","25,078","±1,891","68.5%","±4.3","48,833","±2,732","71.0%","±3.5","25,396","±1,966","78.1%","±4.8","23,221","±1,751","80.2%","±3.5","47,246","±1,916","75.7%","±2.6","21,597","±1,502","70.4%","±4.4","19,203","±1,822","62.8%","±4.3","30,350","±2,133","71.9%","±4.0","104,430","±2,498","81.5%","±1.4","53,913","±2,223","77.1%","±2.7","109,847","±3,580","83.8%","±2.1","105,084","±3,583","70.9%","±2.1","21,107","±1,606","79.0%","±4.1","65,414","±1,946","76.3%","±2.0","159,434","±4,105","77.0%","±1.5","26,996","±1,786","58.2%","±3.2","38,898","±2,320","76.1%","±3.7","54,812","±1,938","80.4%","±2.0","53,793","±3,034","73.1%","±3.7","27,794","±1,452","80.8%","±3.5","325,622","±6,070","76.4%","±1.1","31,494","±1,856","75.8%","±4.0","27,150","±2,129","72.3%","±4.3","82,433","±2,951","82.3%","±2.2","45,445","±3,913","71.4%","±4.8","46,612","±2,058","84.4%","±2.5","55,011","±2,660","77.6%","±3.1","41,208","±2,268","73.4%","±3.2","26,696","±1,509","57.7%","±3.0","25,081","±1,757","65.2%","±4.1","44,145","±1,830","79.9%","±2.8","20,983","±1,611","75.0%","±4.1","17,178","±1,504","60.5%","±4.5","67,370","±1,954","86.4%","±1.9","368,923","±5,056","88.0%","±0.9","37,548","±2,150","77.4%","±3.4","13,372","±1,630","47.1%","±5.0","21,294","±1,823","65.8%","±4.8","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","5,814","±1,251","9.0%","±1.9","6,382","±1,468","10.9%","±2.4","14,242","±2,341","13.3%","±2.1","3,789","±1,053","10.3%","±2.7","4,221","±961","6.1%","±1.4","4,942","±1,214","15.2%","±3.7","2,855","±658","9.9%","±2.2","6,178","±1,096","9.9%","±1.8","1,859","±745","6.1%","±2.4","3,311","±1,036","10.8%","±3.2","2,307","±726","5.5%","±1.7","14,792","±1,696","11.5%","±1.3","8,665","±1,737","12.4%","±2.4","13,639","±2,499","10.4%","±1.9","20,599","±2,953","13.9%","±2.0","2,875","±1,220","10.8%","±4.6","9,668","±1,390","11.3%","±1.6","20,007","±2,598","9.7%","±1.2","3,225","±786","6.9%","±1.6","6,265","±1,447","12.3%","±2.8","6,034","±1,211","8.9%","±1.8","10,041","±2,083","13.6%","±2.8","4,280","±1,263","12.4%","±3.7","39,435","±3,915","9.3%","±0.9","3,676","±1,003","8.9%","±2.4","6,015","±1,258","16.0%","±3.3","7,888","±1,511","7.9%","±1.5","5,846","±1,498","9.2%","±2.3","5,139","±1,444","9.3%","±2.6","16,214","±2,839","22.9%","±3.9","6,191","±1,250","11.0%","±2.2","6,981","±1,016","15.1%","±2.2","4,886","±1,238","12.7%","±3.1","7,204","±1,500","13.0%","±2.7","7,230","±1,259","25.8%","±4.3","2,625","±698","9.2%","±2.4","7,360","±1,467","9.4%","±1.9","31,671","±3,725","7.6%","±0.9","6,565","±1,509","13.5%","±3.0","2,689","±884","9.5%","±3.0","4,566","±1,265","14.1%","±3.8","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","44,687","±2,360","69.5%","±3.0","45,776","±2,576","78.4%","±2.9","71,651","±3,349","67.1%","±2.8","22,807","±1,713","62.3%","±4.0","54,063","±2,669","78.6%","±3.0","20,850","±1,560","64.1%","±4.2","21,938","±1,636","75.7%","±3.5","45,096","±2,408","72.2%","±3.0","21,453","±1,514","69.9%","±4.4","16,686","±1,711","54.5%","±4.4","30,642","±2,187","72.6%","±3.7","94,340","±2,549","73.6%","±1.8","48,271","±2,033","69.0%","±2.7","101,304","±3,994","77.2%","±2.7","101,293","±3,718","68.4%","±2.2","18,549","±1,732","69.4%","±5.5","60,309","±2,316","70.4%","±2.4","150,030","±4,421","72.5%","±1.8","32,891","±1,581","70.9%","±3.2","35,056","±2,335","68.6%","±3.9","52,584","±2,175","77.2%","±2.3","45,170","±2,502","61.4%","±2.9","24,135","±1,539","70.1%","±4.0","337,804","±5,814","79.2%","±1.1","29,026","±1,776","69.9%","±3.7","23,952","±2,048","63.7%","±4.2","79,337","±3,014","79.2%","±2.4","50,841","±3,352","79.9%","±3.5","44,697","±2,567","80.9%","±3.4","42,791","±2,863","60.3%","±4.0","36,677","±2,378","65.4%","±3.7","22,164","±1,462","47.9%","±3.1","22,500","±1,790","58.5%","±4.4","39,519","±2,097","71.5%","±3.5","13,090","±1,485","46.8%","±4.8","18,646","±1,217","65.6%","±3.5","61,891","±2,175","79.4%","±2.3","344,872","±6,357","82.2%","±1.3","33,177","±1,770","68.4%","±3.0","19,188","±1,835","67.6%","±5.0","19,056","±1,726","58.8%","±4.8","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","2,612","±589","4.1%","±0.9","2,895","±706","5.0%","±1.2","4,156","±972","3.9%","±0.9","2,738","±885","7.5%","±2.5","4,199","±1,149","6.1%","±1.7","1,922","±746","5.9%","±2.3","1,721","±498","5.9%","±1.7","3,435","±874","5.5%","±1.4","1,805","±823","5.9%","±2.7","2,024","±699","6.6%","±2.3","1,407","±508","3.3%","±1.2","5,357","±944","4.2%","±0.7","3,512","±926","5.0%","±1.3","7,359","±1,966","5.6%","±1.5","7,959","±1,671","5.4%","±1.1","1,626","±812","6.1%","±3.0","4,995","±918","5.8%","±1.1","11,062","±1,771","5.3%","±0.9","2,517","±741","5.4%","±1.6","5,629","±1,021","11.0%","±2.0","3,793","±898","5.6%","±1.3","4,348","±1,055","5.9%","±1.4","2,387","±837","6.9%","±2.4","16,496","±1,805","3.9%","±0.4","4,281","±1,003","10.3%","±2.4","1,794","±670","4.8%","±1.8","4,678","±1,200","4.7%","±1.2","3,460","±1,106","5.4%","±1.7","2,386","±924","4.3%","±1.7","2,832","±848","4.0%","±1.2","2,633","±959","4.7%","±1.7","3,491","±820","7.5%","±1.8","1,144","±573","3.0%","±1.5","2,620","±844","4.7%","±1.5","3,488","±996","12.5%","±3.4","828","±356","2.9%","±1.2","5,599","±985","7.2%","±1.3","22,083","±2,781","5.3%","±0.7","2,952","±825","6.1%","±1.7","970","±451","3.4%","±1.6","1,125","±524","3.5%","±1.6","8,021,594","±64,513","6.5%","±0.1"
"        Without an Internet subscription","12,146","±1,701","18.9%","±2.6","4,597","±1,048","7.9%","±1.8","17,251","±2,176","16.2%","±1.9","7,996","±1,492","21.8%","±4.0","6,734","±1,470","9.8%","±2.1","4,904","±1,390","15.1%","±4.2","3,157","±818","10.9%","±2.8","9,021","±1,359","14.5%","±2.1","6,422","±1,404","20.9%","±4.5","9,234","±1,335","30.2%","±4.2","8,136","±1,467","19.3%","±3.6","15,902","±1,659","12.4%","±1.3","11,491","±1,679","16.4%","±2.3","12,855","±2,065","9.8%","±1.6","21,920","±2,487","14.8%","±1.6","3,664","±995","13.7%","±3.7","12,733","±1,784","14.9%","±2.0","32,175","±3,002","15.5%","±1.4","7,855","±1,196","16.9%","±2.4","7,573","±1,647","14.8%","±3.2","7,526","±996","11.0%","±1.4","15,369","±2,534","20.9%","±3.4","4,630","±1,015","13.5%","±2.8","39,061","±3,353","9.2%","±0.8","6,282","±1,476","15.1%","±3.5","6,597","±1,217","17.6%","±3.2","10,743","±2,030","10.7%","±2.0","5,651","±1,743","8.9%","±2.8","4,152","±1,147","7.5%","±2.1","10,099","±2,019","14.2%","±2.7","10,594","±1,583","18.9%","±2.8","14,692","±1,303","31.8%","±2.7","10,521","±1,594","27.4%","±3.9","6,872","±1,431","12.4%","±2.5","4,858","±1,060","17.4%","±3.8","6,756","±1,001","23.8%","±3.3","5,869","±1,299","7.5%","±1.7","26,782","±2,910","6.4%","±0.7","6,935","±1,360","14.3%","±2.8","5,700","±1,166","20.1%","±4.1","8,334","±1,529","25.7%","±4.6","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","11,360","±1,883","(X)","(X)","7,270","±1,454","(X)","(X)","16,455","±1,946","(X)","(X)","6,899","±1,247","(X)","(X)","7,552","±1,577","(X)","(X)","5,189","±1,233","(X)","(X)","4,279","±1,046","(X)","(X)","10,565","±1,620","(X)","(X)","4,073","±1,286","(X)","(X)","6,740","±1,231","(X)","(X)","5,847","±1,432","(X)","(X)","24,040","±1,999","(X)","(X)","11,537","±1,896","(X)","(X)","16,511","±2,095","(X)","(X)","25,366","±3,196","(X)","(X)","2,939","±1,062","(X)","(X)","13,893","±1,516","(X)","(X)","34,390","±3,028","(X)","(X)","7,896","±1,381","(X)","(X)","7,085","±1,592","(X)","(X)","6,797","±1,233","(X)","(X)","11,027","±2,377","(X)","(X)","4,730","±1,339","(X)","(X)","46,916","±3,419","(X)","(X)","5,775","±1,212","(X)","(X)","7,211","±1,682","(X)","(X)","15,303","±2,014","(X)","(X)","9,363","±2,364","(X)","(X)","7,340","±1,427","(X)","(X)","13,793","±2,304","(X)","(X)","10,709","±1,634","(X)","(X)","14,898","±1,384","(X)","(X)","9,265","±1,419","(X)","(X)","8,549","±1,484","(X)","(X)","4,527","±1,103","(X)","(X)","6,580","±1,094","(X)","(X)","6,340","±1,205","(X)","(X)","37,028","±4,068","(X)","(X)","9,160","±1,844","(X)","(X)","5,627","±1,193","(X)","(X)","9,455","±1,653","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","85","±126","0.7%","±1.1","0","±216","0.0%","±2.6","0","±216","0.0%","±1.2","0","±216","0.0%","±2.7","41","±71","0.5%","±0.9","0","±216","0.0%","±3.6","0","±216","0.0%","±4.4","39","±65","0.4%","±0.6","64","±111","1.6%","±2.6","0","±216","0.0%","±2.8","94","±159","1.6%","±2.7","116","±131","0.5%","±0.5","0","±216","0.0%","±1.7","0","±216","0.0%","±1.2","198","±321","0.8%","±1.3","0","±216","0.0%","±6.3","83","±99","0.6%","±0.7","0","±216","0.0%","±0.6","0","±216","0.0%","±2.4","0","±216","0.0%","±2.7","0","±216","0.0%","±2.8","24","±46","0.2%","±0.4","0","±216","0.0%","±4.0","0","±216","0.0%","±0.4","0","±216","0.0%","±3.3","0","±216","0.0%","±2.6","66","±110","0.4%","±0.7","0","±216","0.0%","±2.0","0","±216","0.0%","±2.6","119","±187","0.9%","±1.4","68","±113","0.6%","±1.0","0","±216","0.0%","±1.3","0","±216","0.0%","±2.1","0","±216","0.0%","±2.2","0","±216","0.0%","±4.2","0","±216","0.0%","±2.9","47","±79","0.7%","±1.3","559","±799","1.5%","±2.1","0","±216","0.0%","±2.1","124","±156","2.2%","±2.6","0","±216","0.0%","±2.0","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","6,747","±1,288","59.4%","±8.1","5,632","±1,320","77.5%","±7.4","8,738","±1,578","53.1%","±7.4","3,512","±1,028","50.9%","±13.6","5,459","±1,317","72.3%","±9.4","2,382","±725","45.9%","±14.5","2,807","±840","65.6%","±12.3","6,365","±1,353","60.2%","±7.9","2,329","±1,017","57.2%","±15.2","2,802","±871","41.6%","±10.4","3,944","±1,136","67.5%","±10.9","16,356","±1,574","68.0%","±4.0","6,798","±1,651","58.9%","±9.1","12,807","±1,979","77.6%","±5.8","15,993","±2,376","63.0%","±4.9","1,877","±965","63.9%","±16.2","7,459","±1,300","53.7%","±7.0","23,055","±2,610","67.0%","±4.6","5,333","±1,215","67.5%","±7.8","4,437","±1,212","62.6%","±12.4","4,919","±1,025","72.4%","±8.1","5,766","±2,026","52.3%","±11.5","2,488","±914","52.6%","±12.1","31,953","±3,233","68.1%","±4.1","3,099","±758","53.7%","±11.7","4,477","±1,398","62.1%","±10.6","11,988","±1,988","78.3%","±6.4","6,596","±2,140","70.4%","±13.3","6,204","±1,362","84.5%","±8.1","9,920","±2,229","71.9%","±8.4","7,000","±1,399","65.4%","±8.6","6,649","±961","44.6%","±4.7","4,516","±1,037","48.7%","±9.7","5,505","±1,146","64.4%","±9.2","3,168","±1,059","70.0%","±12.5","2,867","±709","43.6%","±8.4","4,337","±907","68.4%","±9.4","27,801","±3,622","75.1%","±4.6","5,235","±1,345","57.2%","±9.8","3,065","±869","54.5%","±11.6","4,716","±1,210","49.9%","±9.9","10,840,598","±55,426","64.2%","±0.2"
