"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Percent!!Estimate","DeSoto County, Mississippi!!Percent!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Percent!!Estimate","Forrest County, Mississippi!!Percent!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Percent!!Estimate","Harrison County, Mississippi!!Percent!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Percent!!Estimate","Hinds County, Mississippi!!Percent!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Percent!!Estimate","Jackson County, Mississippi!!Percent!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Percent!!Estimate","Jones County, Mississippi!!Percent!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Percent!!Estimate","Lauderdale County, Mississippi!!Percent!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Percent!!Estimate","Lee County, Mississippi!!Percent!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Percent!!Estimate","Madison County, Mississippi!!Percent!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Percent!!Estimate","Rankin County, Mississippi!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","6,393","±1,253","(X)","(X)","6,588","±1,494","(X)","(X)","14,246","±2,340","(X)","(X)","19,143","±2,192","(X)","(X)","8,518","±1,805","(X)","(X)","6,857","±1,304","(X)","(X)","8,924","±1,634","(X)","(X)","5,582","±1,217","(X)","(X)","4,498","±1,109","(X)","(X)","6,674","±1,524","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","0","±226","0.0%","±3.3","0","±226","0.0%","±3.2","0","±226","0.0%","±1.5","0","±226","0.0%","±1.1","0","±226","0.0%","±2.5","0","±226","0.0%","±3.0","124","±152","1.4%","±1.7","0","±226","0.0%","±3.7","0","±226","0.0%","±4.6","0","±226","0.0%","±3.1","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","3,948","±976","61.8%","±11.6","4,543","±1,348","69.0%","±10.9","8,384","±1,897","58.9%","±9.4","12,670","±2,001","66.2%","±5.6","6,081","±1,616","71.4%","±8.9","2,756","±1,005","40.2%","±11.1","4,680","±1,391","52.4%","±11.6","3,274","±955","58.7%","±9.5","3,110","±914","69.1%","±12.8","3,981","±1,202","59.6%","±12.2","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","2,445","±943","38.2%","±11.6","2,045","±782","31.0%","±10.9","5,862","±1,659","41.1%","±9.4","6,473","±1,156","33.8%","±5.6","2,437","±811","28.6%","±8.9","4,101","±986","59.8%","±11.1","4,120","±1,242","46.2%","±11.8","2,308","±660","41.3%","±9.5","1,388","±690","30.9%","±12.8","2,693","±1,029","40.4%","±12.2","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","29,872","±2,452","(X)","(X)","15,331","±1,728","(X)","(X)","37,076","±2,812","(X)","(X)","46,719","±2,766","(X)","(X)","27,482","±2,637","(X)","(X)","11,851","±1,678","(X)","(X)","13,189","±1,683","(X)","(X)","14,824","±1,581","(X)","(X)","16,931","±2,198","(X)","(X)","25,648","±2,523","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","113","±138","0.4%","±0.5","0","±226","0.0%","±1.4","115","±143","0.3%","±0.4","0","±226","0.0%","±0.5","111","±186","0.4%","±0.7","16","±33","0.1%","±0.3","107","±170","0.8%","±1.3","0","±226","0.0%","±1.4","0","±226","0.0%","±1.2","0","±226","0.0%","±0.8","154,033","±5,386","0.3%","±0.1"
"            With a broadband Internet subscription","26,860","±2,365","89.9%","±3.5","12,895","±1,778","84.1%","±5.6","29,798","±3,019","80.4%","±4.5","42,453","±2,845","90.9%","±2.1","22,814","±2,349","83.0%","±5.2","6,702","±1,442","56.6%","±9.7","11,237","±1,616","85.2%","±4.9","10,820","±1,558","73.0%","±6.1","15,405","±2,180","91.0%","±3.8","23,043","±2,317","89.8%","±2.9","43,392,447","±118,754","84.1%","±0.1"
"            Without an Internet subscription","2,899","±1,061","9.7%","±3.4","2,436","±863","15.9%","±5.6","7,163","±1,655","19.3%","±4.4","4,266","±988","9.1%","±2.1","4,557","±1,574","16.6%","±5.2","5,133","±1,399","43.3%","±9.7","1,845","±670","14.0%","±4.9","4,004","±955","27.0%","±6.1","1,526","±655","9.0%","±3.8","2,605","±799","10.2%","±2.9","8,077,796","±66,242","15.6%","±0.1"
"        $75,000 or more:","28,955","±2,329","(X)","(X)","5,421","±1,318","(X)","(X)","23,306","±2,559","(X)","(X)","22,609","±2,227","(X)","(X)","20,323","±2,497","(X)","(X)","5,470","±1,191","(X)","(X)","7,254","±1,408","(X)","(X)","9,972","±1,472","(X)","(X)","18,617","±1,680","(X)","(X)","24,689","±2,160","(X)","(X)","54,280,407","±138,481","(X)","(X)"
"            With dial-up Internet subscription alone","0","±226","0.0%","±0.7","0","±226","0.0%","±3.8","0","±226","0.0%","±0.9","0","±226","0.0%","±0.9","0","±226","0.0%","±1.0","0","±226","0.0%","±3.8","0","±226","0.0%","±2.9","0","±226","0.0%","±2.1","0","±226","0.0%","±1.1","0","±226","0.0%","±0.9","61,241","±3,741","0.1%","±0.1"
"            With a broadband Internet subscription","27,450","±2,269","94.8%","±2.5","4,614","±1,010","85.1%","±8.2","22,338","±2,587","95.8%","±1.8","21,191","±2,097","93.7%","±3.1","19,129","±2,366","94.1%","±3.3","4,914","±1,205","89.8%","±7.9","6,980","±1,391","96.2%","±3.3","9,405","±1,423","94.3%","±3.6","17,817","±1,716","95.7%","±2.9","23,950","±2,261","97.0%","±2.0","51,866,285","±151,271","95.6%","±0.1"
"            Without an Internet subscription","1,505","±731","5.2%","±2.5","807","±548","14.9%","±8.2","968","±402","4.2%","±1.8","1,418","±745","6.3%","±3.1","1,194","±713","5.9%","±3.3","556","±434","10.2%","±7.9","274","±241","3.8%","±3.3","567","±366","5.7%","±3.6","800","±550","4.3%","±2.9","739","±491","3.0%","±2.0","2,352,881","±31,854","4.3%","±0.1"
